,ARN,tr_sink_node,m_network,MID,MID_name,TID,Typ_karty,czy_SCA,tr_amout,pos_entry_mode,country,podział NBP,trx_date,posted_date,quarter,FT,FT description
10,74410493132018629398370,SN-Visa,Niezrzeszeni,P8847,POLA TAXI Adam Polański,19253907,Debit,SCA,200.0,CTLS,US,G1,2023-05-12,2023-06-02,2,0,Zgubienie lub kradzież karty
11,74410493162018847887215,SN-Visa,Huzar,K0508,KWITOWSKI PALIWA SP. Z O.O.,11348507,Debit,non_SCA,60.0,CTLS,PL,PL,2023-06-11,2023-06-26,2,0,Zgubienie lub kradzież karty
12,74410493115018506669399,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,48.98,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty
13,74410493115018509806014,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,54.48,CTLS,PL,PL,2023-04-25,2023-05-11,2,1,Zgubienie lub kradzież karty
14,74410493162018847887330,SN-Visa,Huzar,K0508,KWITOWSKI PALIWA SP. Z O.O.,11348507,Debit,non_SCA,60.0,CTLS,PL,PL,2023-06-11,2023-06-26,2,0,Zgubienie lub kradzież karty
15,74410493162018849701638,SN-Visa,Niezrzeszeni,S2162,Seven Spades Piotr Siemaszko,04826907,Debit,non_SCA,90.0,CTLS,GB,G1,2023-06-11,2023-06-20,2,1,Zgubienie lub kradzież karty
16,74410493171018914403184,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,9.89,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty
17,74410493171018918839193,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,34.73,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty
18,74410493171018919430398,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,22.08,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty
19,74410493090018343830799,SN-Visa,Niezrzeszeni,F2376,Fuczyło FHU Mariusz Fuczyło,07504607,Debit,non_SCA,96.6,CTLS,PL,PL,2023-03-31,2023-04-08,2,1,Zgubienie lub kradzież karty
20,74410493090018348774422,SN-Visa,Niezrzeszeni,Y1068,Beauty Nails ANGELIKA BEŁC,12998707,Credit,non_SCA,470.0,CTLS,US,G1,2023-03-31,2023-04-08,2,4,Karta sfałszowana
21,74410493133018636262717,SN-Visa,Niezrzeszeni,B4554,Bler  Michał Kibler,15626607,Credit,SCA,48.6,CTLS,IT,IT,2023-05-13,2023-06-10,2,B,Nieznane oznaczenie - B
22,74410493160018832288066,SN-Visa,Wiele Rachunków,F2448,FUNDACJA ARTE NOVUM,08357907,Credit,non_SCA,98.0,CTLS,US,G1,2023-06-09,2023-06-27,2,0,Zgubienie lub kradzież karty
23,74410493167018883770932,SN-Visa,BANK MILLENNIUM,P9087,PARTY  SP Z O O,20044707,Credit,non_SCA,739.98,CTLS,US,G1,2023-06-16,2023-06-22,2,4,Karta sfałszowana
24,74410493168018893046512,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Debit,non_SCA,33.26,CTLS,PL,PL,2023-06-17,2023-06-24,2,1,Zgubienie lub kradzież karty
25,74410493078018268394850,SN-Visa,Niezrzeszeni,M9476,MIROSŁAW BILSKI TAXI OSOBOWE,19878607,Debit,non_SCA,40.0,CTLS,DK,DK,2023-03-19,2023-04-08,2,D,Nieznane oznaczenie - D
26,74410493089018343438349,SN-Visa,BANK MILLENNIUM,M7066,MICHAŁÓWKA DARIUSZ JEZIERSKI M,17814607,Debit,SCA,127.0,CTLS,DK,DK,2023-03-30,2023-04-15,2,D,Nieznane oznaczenie - D
27,74410493096018387090072,SN-Visa,Niezrzeszeni,E2387,EFF IQ SP Z O O,13986407,Debit,non_SCA,80.0,CTLS,PL,PL,2023-04-06,2023-04-15,2,0,Zgubienie lub kradzież karty
28,74410493155018800305899,SN-Visa,Niezrzeszeni,S9681,Sklep Spożywczo Monopolowy SKO,20054907,Credit,non_SCA,17.5,CTLS,GB,G1,2023-06-04,2023-06-16,2,4,Karta sfałszowana
29,74410493161018842810452,SN-Visa,GL,T7189,TABAK GRUPA SP. Z O.O.,19113507,Debit,non_SCA,29.98,CTLS,PL,PL,2023-06-10,2023-06-22,2,1,Zgubienie lub kradzież karty
30,74410493171018914376935,SN-Visa,Niezrzeszeni,J3053,Joanna Grabowska WARZYWNIAK  O,20818907,Debit,non_SCA,10.0,CTLS,PL,PL,2023-06-20,2023-06-26,2,1,Zgubienie lub kradzież karty
