
Report start -AR2- --2023-07-25--
4.a.R.L_PLiW2 and 4a.R.W_PLiW2 and 6.ab.LiW
i: 13 country: Irlandia n: 10
i: 14 country: Islandia n: 10
i: 15 country: Litwa  n: 10
i: 16 country: Liechtenstein n: 10
i: 17 country: Luksemburg n: 10
i: 18 country: £otwa n: 10
i: 19 country: Malta n: 10
i: 20 country: Niemcy n: 10
i: 21 country: Norwegia n: 10
i: 22 country: Polska n: 10
i: 23 country: Portugalia n: 10
i: 24 country: Rumunia n: 10
i: 25 country: S³owacja n: 10
i: 26 country: S³owenia n: 10
i: 27 country: Szwecja n: 10
i: 28 country: Wêgry n: 10
i: 29 country: W³ochy n: 10
i: 30 country: Krajowe n: 10
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 10
i: 0 country: Austria n: 11
i: 1 country: Belgia n: 11
i: 2 country: Bu³garia n: 11
i: 3 country: Chorwacja n: 11
i: 4 country: Cypr n: 11
i: 5 country: Czechy n: 11
i: 6 country: Dania n: 11
i: 7 country: Estonia n: 11
i: 8 country: Finlandia n: 11
i: 9 country: Francja n: 11
i: 10 country: Grecja n: 11
i: 11 country: Hiszpania n: 11
i: 12 country: Niderlandy n: 11
i: 13 country: Irlandia n: 11
i: 14 country: Islandia n: 11
i: 15 country: Litwa  n: 11
i: 16 country: Liechtenstein n: 11
i: 17 country: Luksemburg n: 11
i: 18 country: £otwa n: 11
i: 19 country: Malta n: 11
i: 20 country: Niemcy n: 11
i: 21 country: Norwegia n: 11
i: 22 country: Polska n: 11
i: 23 country: Portugalia n: 11
i: 24 country: Rumunia n: 11
i: 25 country: S³owacja n: 11
i: 26 country: S³owenia n: 11
i: 27 country: Szwecja n: 11
i: 28 country: Wêgry n: 11
i: 29 country: W³ochy n: 11
i: 30 country: Krajowe n: 11
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 11
i: 0 country: Austria n: 12
i: 1 country: Belgia n: 12
i: 2 country: Bu³garia n: 12
i: 3 country: Chorwacja n: 12
i: 4 country: Cypr n: 12
i: 5 country: Czechy n: 12
i: 6 country: Dania n: 12
i: 7 country: Estonia n: 12
i: 8 country: Finlandia n: 12
i: 9 country: Francja n: 12
i: 10 country: Grecja n: 12
i: 11 country: Hiszpania n: 12
i: 12 country: Niderlandy n: 12
i: 13 country: Irlandia n: 12
i: 14 country: Islandia n: 12
i: 15 country: Litwa  n: 12
i: 16 country: Liechtenstein n: 12
i: 17 country: Luksemburg n: 12
i: 18 country: £otwa n: 12
i: 19 country: Malta n: 12
i: 20 country: Niemcy n: 12
i: 21 country: Norwegia n: 12
i: 22 country: Polska n: 12
i: 23 country: Portugalia n: 12
i: 24 country: Rumunia n: 12
i: 25 country: S³owacja n: 12
i: 26 country: S³owenia n: 12
i: 27 country: Szwecja n: 12
i: 28 country: Wêgry n: 12
i: 29 country: W³ochy n: 12
i: 30 country: Krajowe n: 12
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 12
i: 0 country: Austria n: 13
i: 1 country: Belgia n: 13
i: 2 country: Bu³garia n: 13
i: 3 country: Chorwacja n: 13
i: 4 country: Cypr n: 13
i: 5 country: Czechy n: 13
i: 6 country: Dania n: 13
i: 7 country: Estonia n: 13
i: 8 country: Finlandia n: 13
i: 9 country: Francja n: 13
i: 10 country: Grecja n: 13
i: 11 country: Hiszpania n: 13
i: 12 country: Niderlandy n: 13
i: 13 country: Irlandia n: 13
i: 14 country: Islandia n: 13
i: 15 country: Litwa  n: 13
i: 16 country: Liechtenstein n: 13
i: 17 country: Luksemburg n: 13
i: 18 country: £otwa n: 13
i: 19 country: Malta n: 13
i: 20 country: Niemcy n: 13
i: 21 country: Norwegia n: 13
i: 22 country: Polska n: 13
i: 23 country: Portugalia n: 13
i: 24 country: Rumunia n: 13
i: 25 country: S³owacja n: 13
i: 26 country: S³owenia n: 13
i: 27 country: Szwecja n: 13
i: 28 country: Wêgry n: 13
i: 29 country: W³ochy n: 13
i: 30 country: Krajowe n: 13
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 13
i: 0 country: Austria n: 14
i: 1 country: Belgia n: 14
i: 2 country: Bu³garia n: 14
i: 3 country: Chorwacja n: 14
i: 4 country: Cypr n: 14
i: 5 country: Czechy n: 14
i: 6 country: Dania n: 14
i: 7 country: Estonia n: 14
i: 8 country: Finlandia n: 14
i: 9 country: Francja n: 14
i: 10 country: Grecja n: 14
i: 11 country: Hiszpania n: 14
i: 12 country: Niderlandy n: 14
i: 13 country: Irlandia n: 14
i: 14 country: Islandia n: 14
i: 15 country: Litwa  n: 14
i: 16 country: Liechtenstein n: 14
i: 17 country: Luksemburg n: 14
i: 18 country: £otwa n: 14
i: 19 country: Malta n: 14
i: 20 country: Niemcy n: 14
i: 21 country: Norwegia n: 14
i: 22 country: Polska n: 14
i: 23 country: Portugalia n: 14
i: 24 country: Rumunia n: 14
i: 25 country: S³owacja n: 14
i: 26 country: S³owenia n: 14
i: 27 country: Szwecja n: 14
i: 28 country: Wêgry n: 14
i: 29 country: W³ochy n: 14
i: 30 country: Krajowe n: 14
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 14
i: 0 country: Austria n: 15
i: 1 country: Belgia n: 15
i: 2 country: Bu³garia n: 15
i: 3 country: Chorwacja n: 15
i: 4 country: Cypr n: 15
i: 5 country: Czechy n: 15
i: 6 country: Dania n: 15
i: 7 country: Estonia n: 15
i: 8 country: Finlandia n: 15
i: 9 country: Francja n: 15
i: 10 country: Grecja n: 15
i: 11 country: Hiszpania n: 15
i: 12 country: Niderlandy n: 15
i: 13 country: Irlandia n: 15
i: 14 country: Islandia n: 15
i: 15 country: Litwa  n: 15
i: 16 country: Liechtenstein n: 15
i: 17 country: Luksemburg n: 15
i: 18 country: £otwa n: 15
i: 19 country: Malta n: 15
i: 20 country: Niemcy n: 15
i: 21 country: Norwegia n: 15
i: 22 country: Polska n: 15
i: 23 country: Portugalia n: 15
i: 24 country: Rumunia n: 15
i: 25 country: S³owacja n: 15
i: 26 country: S³owenia n: 15
i: 27 country: Szwecja n: 15
i: 28 country: Wêgry n: 15
i: 29 country: W³ochy n: 15
i: 30 country: Krajowe n: 15
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 15
i: 0 country: Austria n: 16
i: 1 country: Belgia n: 16
i: 2 country: Bu³garia n: 16
i: 3 country: Chorwacja n: 16
i: 4 country: Cypr n: 16
i: 5 country: Czechy n: 16
i: 6 country: Dania n: 16
i: 7 country: Estonia n: 16
i: 8 country: Finlandia n: 16
i: 9 country: Francja n: 16
i: 10 country: Grecja n: 16
i: 11 country: Hiszpania n: 16
i: 12 country: Niderlandy n: 16
i: 13 country: Irlandia n: 16
i: 14 country: Islandia n: 16
i: 15 country: Litwa  n: 16
i: 16 country: Liechtenstein n: 16
i: 17 country: Luksemburg n: 16
i: 18 country: £otwa n: 16
i: 19 country: Malta n: 16
i: 20 country: Niemcy n: 16
i: 21 country: Norwegia n: 16
i: 22 country: Polska n: 16
i: 23 country: Portugalia n: 16
i: 24 country: Rumunia n: 16
i: 25 country: S³owacja n: 16
i: 26 country: S³owenia n: 16
i: 27 country: Szwecja n: 16
i: 28 country: Wêgry n: 16
i: 29 country: W³ochy n: 16
i: 30 country: Krajowe n: 16
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 16
i: 0 country: Austria n: 17
i: 1 country: Belgia n: 17
i: 2 country: Bu³garia n: 17
i: 3 country: Chorwacja n: 17
i: 4 country: Cypr n: 17
i: 5 country: Czechy n: 17
i: 6 country: Dania n: 17
i: 7 country: Estonia n: 17
i: 8 country: Finlandia n: 17
i: 9 country: Francja n: 17
i: 10 country: Grecja n: 17
i: 11 country: Hiszpania n: 17
i: 12 country: Niderlandy n: 17
i: 13 country: Irlandia n: 17
i: 14 country: Islandia n: 17
i: 15 country: Litwa  n: 17
i: 16 country: Liechtenstein n: 17
i: 17 country: Luksemburg n: 17
i: 18 country: £otwa n: 17
i: 19 country: Malta n: 17
i: 20 country: Niemcy n: 17
i: 21 country: Norwegia n: 17
i: 22 country: Polska n: 17
i: 23 country: Portugalia n: 17
i: 24 country: Rumunia n: 17
i: 25 country: S³owacja n: 17
i: 26 country: S³owenia n: 17
i: 27 country: Szwecja n: 17
i: 28 country: Wêgry n: 17
i: 29 country: W³ochy n: 17
i: 30 country: Krajowe n: 17
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 17
i: 0 country: Austria n: 18
i: 1 country: Belgia n: 18
i: 2 country: Bu³garia n: 18
i: 3 country: Chorwacja n: 18
i: 4 country: Cypr n: 18
i: 5 country: Czechy n: 18
i: 6 country: Dania n: 18
i: 7 country: Estonia n: 18
i: 8 country: Finlandia n: 18
i: 9 country: Francja n: 18
i: 10 country: Grecja n: 18
i: 11 country: Hiszpania n: 18
i: 12 country: Niderlandy n: 18
i: 13 country: Irlandia n: 18
i: 14 country: Islandia n: 18
i: 15 country: Litwa  n: 18
i: 16 country: Liechtenstein n: 18
i: 17 country: Luksemburg n: 18
i: 18 country: £otwa n: 18
i: 19 country: Malta n: 18
i: 20 country: Niemcy n: 18
i: 21 country: Norwegia n: 18
i: 22 country: Polska n: 18
i: 23 country: Portugalia n: 18
i: 24 country: Rumunia n: 18
i: 25 country: S³owacja n: 18
i: 26 country: S³owenia n: 18
i: 27 country: Szwecja n: 18
i: 28 country: Wêgry n: 18
i: 29 country: W³ochy n: 18
i: 30 country: Krajowe n: 18
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 18
i: 0 country: Austria n: 19
i: 1 country: Belgia n: 19
i: 2 country: Bu³garia n: 19
i: 3 country: Chorwacja n: 19
i: 4 country: Cypr n: 19
i: 5 country: Czechy n: 19
i: 6 country: Dania n: 19
i: 7 country: Estonia n: 19
i: 8 country: Finlandia n: 19
i: 9 country: Francja n: 19
i: 10 country: Grecja n: 19
i: 11 country: Hiszpania n: 19
i: 12 country: Niderlandy n: 19
i: 13 country: Irlandia n: 19
i: 14 country: Islandia n: 19
i: 15 country: Litwa  n: 19
i: 16 country: Liechtenstein n: 19
i: 17 country: Luksemburg n: 19
i: 18 country: £otwa n: 19
i: 19 country: Malta n: 19
i: 20 country: Niemcy n: 19
i: 21 country: Norwegia n: 19
i: 22 country: Polska n: 19
i: 23 country: Portugalia n: 19
i: 24 country: Rumunia n: 19
i: 25 country: S³owacja n: 19
i: 26 country: S³owenia n: 19
i: 27 country: Szwecja n: 19
i: 28 country: Wêgry n: 19
i: 29 country: W³ochy n: 19
i: 30 country: Krajowe n: 19
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 19
6.ab.LiW
5a.R.SF
5a.R.LF_PLiW2 and 5a.R.WF_PLiW2

An error occurred while disconnecting all connections: (2250, 'WNetCancelConnection2', 'To po³¹czenie sieciowe nie istnieje.')

An error occurred while reading the remote file: (1326, 'WNetAddConnection2', 'Nazwa u¿ytkownika lub has³o s¹ niepoprawne.')

Checking files for VISA FRAUD in: //prdfil/tf$/Internal/clearing/Visa/202304/20230401_INITF.epd

[Errno 13] Permission denied: '//prdfil/tf$/Internal/clearing/Visa/202304/20230401_INITF.epd'

Report start -AR2- --2023-07-25--
4.a.R.L_PLiW2 and 4a.R.W_PLiW2 and 6.ab.LiW
i: 0 country: Austria n: 0
i: 1 country: Belgia n: 0
i: 2 country: Bu³garia n: 0
i: 3 country: Chorwacja n: 0
i: 4 country: Cypr n: 0
i: 5 country: Czechy n: 0
i: 6 country: Dania n: 0
i: 7 country: Estonia n: 0
i: 8 country: Finlandia n: 0
i: 9 country: Francja n: 0
i: 10 country: Grecja n: 0
i: 11 country: Hiszpania n: 0
i: 12 country: Niderlandy n: 0
i: 13 country: Irlandia n: 0
i: 14 country: Islandia n: 0
i: 15 country: Litwa  n: 0
i: 16 country: Liechtenstein n: 0
i: 17 country: Luksemburg n: 0
i: 18 country: £otwa n: 0
i: 19 country: Malta n: 0
i: 20 country: Niemcy n: 0
i: 21 country: Norwegia n: 0
i: 22 country: Polska n: 0
i: 23 country: Portugalia n: 0
i: 24 country: Rumunia n: 0
i: 25 country: S³owacja n: 0
i: 26 country: S³owenia n: 0
i: 27 country: Szwecja n: 0
i: 28 country: Wêgry n: 0
i: 29 country: W³ochy n: 0
i: 30 country: Krajowe n: 0
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 0
i: 0 country: Austria n: 1
i: 1 country: Belgia n: 1
i: 2 country: Bu³garia n: 1
i: 3 country: Chorwacja n: 1
i: 4 country: Cypr n: 1
i: 5 country: Czechy n: 1
i: 6 country: Dania n: 1
i: 7 country: Estonia n: 1
i: 8 country: Finlandia n: 1
i: 9 country: Francja n: 1
i: 10 country: Grecja n: 1
i: 11 country: Hiszpania n: 1
i: 12 country: Niderlandy n: 1
i: 13 country: Irlandia n: 1
i: 14 country: Islandia n: 1
i: 15 country: Litwa  n: 1
i: 16 country: Liechtenstein n: 1
i: 17 country: Luksemburg n: 1
i: 18 country: £otwa n: 1
i: 19 country: Malta n: 1
i: 20 country: Niemcy n: 1
i: 21 country: Norwegia n: 1
i: 22 country: Polska n: 1
i: 23 country: Portugalia n: 1
i: 24 country: Rumunia n: 1
i: 25 country: S³owacja n: 1
i: 26 country: S³owenia n: 1
i: 27 country: Szwecja n: 1
i: 28 country: Wêgry n: 1
i: 29 country: W³ochy n: 1
i: 30 country: Krajowe n: 1
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 1
i: 0 country: Austria n: 2
i: 1 country: Belgia n: 2
i: 2 country: Bu³garia n: 2
i: 3 country: Chorwacja n: 2
i: 4 country: Cypr n: 2
i: 5 country: Czechy n: 2
i: 6 country: Dania n: 2
i: 7 country: Estonia n: 2
i: 8 country: Finlandia n: 2
i: 9 country: Francja n: 2
i: 10 country: Grecja n: 2
i: 11 country: Hiszpania n: 2
i: 12 country: Niderlandy n: 2
i: 13 country: Irlandia n: 2
i: 14 country: Islandia n: 2
i: 15 country: Litwa  n: 2
i: 16 country: Liechtenstein n: 2
i: 17 country: Luksemburg n: 2
i: 18 country: £otwa n: 2
i: 19 country: Malta n: 2
i: 20 country: Niemcy n: 2
i: 21 country: Norwegia n: 2
i: 22 country: Polska n: 2
i: 23 country: Portugalia n: 2
i: 24 country: Rumunia n: 2
i: 25 country: S³owacja n: 2
i: 26 country: S³owenia n: 2
i: 27 country: Szwecja n: 2
i: 28 country: Wêgry n: 2
i: 29 country: W³ochy n: 2
i: 30 country: Krajowe n: 2
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 2
i: 0 country: Austria n: 3
i: 1 country: Belgia n: 3
i: 2 country: Bu³garia n: 3
i: 3 country: Chorwacja n: 3
i: 4 country: Cypr n: 3
i: 5 country: Czechy n: 3
i: 6 country: Dania n: 3
i: 7 country: Estonia n: 3
i: 8 country: Finlandia n: 3
i: 9 country: Francja n: 3
i: 10 country: Grecja n: 3
i: 11 country: Hiszpania n: 3
i: 12 country: Niderlandy n: 3
i: 13 country: Irlandia n: 3
i: 14 country: Islandia n: 3
i: 15 country: Litwa  n: 3
i: 16 country: Liechtenstein n: 3
i: 17 country: Luksemburg n: 3
i: 18 country: £otwa n: 3
i: 19 country: Malta n: 3
i: 20 country: Niemcy n: 3
i: 21 country: Norwegia n: 3
i: 22 country: Polska n: 3
i: 23 country: Portugalia n: 3
i: 24 country: Rumunia n: 3
i: 25 country: S³owacja n: 3
i: 26 country: S³owenia n: 3
i: 27 country: Szwecja n: 3
i: 28 country: Wêgry n: 3
i: 29 country: W³ochy n: 3
i: 30 country: Krajowe n: 3
i: 31 country: Pozosta³e kraje œwiata (poza EOG) n: 3
i: 0 country: Austria n: 4
i: 1 country: Belgia n: 4
i: 2 country: Bu³garia n: 4
i: 3 country: Chorwacja n: 4
i: 4 country: Cypr n: 4
i: 5 country: Czechy n: 4
i: 6 country: Dania n: 4
i: 7 country: Estonia n: 4
i: 8 country: Finlandia n: 4
i: 9 country: Francja n: 4
i: 10 country: Grecja n: 4
i: 11 country: Hiszpania n: 4
i: 12 country: Niderlandy n: 4
i: 13 country: Irlandia n: 4
i: 14 country: Islandia n: 4
i: 15 country: Litwa  n: 4
i: 16 country: Liechtenstein n: 4
i: 17 country: Luksemburg n: 4
i: 18 country: £otwa n: 4
i: 19 country: Malta n: 4
i: 20 country: Niemcy n: 4
